task_id,category,label,method,edit_success_1_5,preservation_1_5,locality_1_5,artifact_1_5_lower_better,overall_1_5,gate_decision,notes
cat_crown,T1 accessory,Cat crown,direct_target,,,,,,,
cat_crown,T1 accessory,Cat crown,adaptive_full_generic_support,,,,,,,
cat_crown,T1 accessory,Cat crown,support_v3_controller_rmsgap,,,,,,,
dog_crown_phase2,T1 accessory,Dog crown,direct_target,,,,,,,
dog_crown_phase2,T1 accessory,Dog crown,adaptive_full_generic_support,,,,,,,
dog_crown_phase2,T1 accessory,Dog crown,support_v3_controller_rmsgap,,,,,,,
cat_side_crown_phase2,T1 accessory,Side cat crown,direct_target,,,,,,,
cat_side_crown_phase2,T1 accessory,Side cat crown,adaptive_full_generic_support,,,,,,,
cat_side_crown_phase2,T1 accessory,Side cat crown,support_v3_controller_rmsgap,,,,,,,
bowl_apple_inside,T2 container,Bowl apple,direct_target,,,,,,,
bowl_apple_inside,T2 container,Bowl apple,adaptive_full_generic_support,,,,,,,
bowl_apple_inside,T2 container,Bowl apple,support_v3_controller_rmsgap,,,,,,,
white_bowl_strawberry_phase2,T2 container,White bowl strawberry,direct_target,,,,,,,
white_bowl_strawberry_phase2,T2 container,White bowl strawberry,adaptive_full_generic_support,,,,,,,
white_bowl_strawberry_phase2,T2 container,White bowl strawberry,support_v3_controller_rmsgap,,,,,,,
brown_bowl_lemon_phase2,T2 container,Brown bowl lemon,direct_target,,,,,,,
brown_bowl_lemon_phase2,T2 container,Brown bowl lemon,adaptive_full_generic_support,,,,,,,
brown_bowl_lemon_phase2,T2 container,Brown bowl lemon,support_v3_controller_rmsgap,,,,,,,
tshirt_star,T3 decal,T-shirt star,direct_target,,,,,,,
tshirt_star,T3 decal,T-shirt star,adaptive_full_generic_support,,,,,,,
tshirt_star,T3 decal,T-shirt star,support_v3_controller_rmsgap,,,,,,,
mug_heart,T3 decal,Mug heart,direct_target,,,,,,,
mug_heart,T3 decal,Mug heart,adaptive_full_generic_support,,,,,,,
mug_heart,T3 decal,Mug heart,support_v3_controller_rmsgap,,,,,,,
tote_leaf,T3 decal,Tote leaf,direct_target,,,,,,,
tote_leaf,T3 decal,Tote leaf,adaptive_full_generic_support,,,,,,,
tote_leaf,T3 decal,Tote leaf,support_v3_controller_rmsgap,,,,,,,
red_chair_blue,T4 recolor,Room chair blue,direct_target,,,,,,,
red_chair_blue,T4 recolor,Room chair blue,adaptive_full_generic_support,,,,,,,
red_chair_blue,T4 recolor,Room chair blue,support_v3_controller_rmsgap,,,,,,,
red_chair_product_blue_phase2,T4 recolor,Product chair blue,direct_target,,,,,,,
red_chair_product_blue_phase2,T4 recolor,Product chair blue,adaptive_full_generic_support,,,,,,,
red_chair_product_blue_phase2,T4 recolor,Product chair blue,support_v3_controller_rmsgap,,,,,,,
red_chair_restaurant_blue_phase2,T4 recolor,Restaurant chair blue,direct_target,,,,,,,
red_chair_restaurant_blue_phase2,T4 recolor,Restaurant chair blue,adaptive_full_generic_support,,,,,,,
red_chair_restaurant_blue_phase2,T4 recolor,Restaurant chair blue,support_v3_controller_rmsgap,,,,,,,
pillow_vertical_fabric_strip,T5 surface,Pillow vertical strip,direct_target,,,,,,,
pillow_vertical_fabric_strip,T5 surface,Pillow vertical strip,adaptive_full_generic_support,,,,,,,
pillow_vertical_fabric_strip,T5 surface,Pillow vertical strip,support_v3_controller_rmsgap,,,,,,,
white_pillow_blue_dots_phase2,T5 surface,Pillow dots,direct_target,,,,,,,
white_pillow_blue_dots_phase2,T5 surface,Pillow dots,adaptive_full_generic_support,,,,,,,
white_pillow_blue_dots_phase2,T5 surface,Pillow dots,support_v3_controller_rmsgap,,,,,,,
white_pillow_blue_cross_phase2,T5 surface,Pillow cross,direct_target,,,,,,,
white_pillow_blue_cross_phase2,T5 surface,Pillow cross,adaptive_full_generic_support,,,,,,,
white_pillow_blue_cross_phase2,T5 surface,Pillow cross,support_v3_controller_rmsgap,,,,,,,
backpack_remove_toy_charm,T6 removal,Backpack charm,direct_target,,,,,,,
backpack_remove_toy_charm,T6 removal,Backpack charm,adaptive_full_generic_support,,,,,,,
backpack_remove_toy_charm,T6 removal,Backpack charm,support_v3_controller_rmsgap,,,,,,,
backpack_remove_silver_keychain_phase2,T6 removal,Silver keychain,direct_target,,,,,,,
backpack_remove_silver_keychain_phase2,T6 removal,Silver keychain,adaptive_full_generic_support,,,,,,,
backpack_remove_silver_keychain_phase2,T6 removal,Silver keychain,support_v3_controller_rmsgap,,,,,,,
bag_remove_decorative_tag_phase2,T6 removal,Bag tag,direct_target,,,,,,,
bag_remove_decorative_tag_phase2,T6 removal,Bag tag,adaptive_full_generic_support,,,,,,,
bag_remove_decorative_tag_phase2,T6 removal,Bag tag,support_v3_controller_rmsgap,,,,,,,
